Daniel Radcliffe,M,1989,~,29,6801,2015,26,~
Chris Pratt,M,1979,~,39,6834,2017,38,~
James Franco,M,1978,~,40,6838,2013,35,Nom
Orlando Bloom,M,1977,~,41,6927,2014,37,~
Ryan Reynolds,M,1976,~,42,6801,2016,40,~
Dwayne Johnson,M,1972,~,46,6801,2017,45,~
Mark Wahlberg,M,1971,~,47,6259,2010,39,Nom
Matt Damon,M,1970,~,48,6801,2007,37,Nom
Javier Bardem,M,1969,~,49,6834,2012,43,Won
Jason Bateman,M,1969,~,49,6533,2017,48,~
Jack Black,M,1969,~,49,6441,2018,49,~
Matthew McConaughey,M,1969,~,49,6931,2014,45,Won
Paul Rudd,M,1969,~,49,6834,2015,46,~
Cuba Gooding Jr.,M,1968,~,50,6834,2002,34,Won
Hugh Jackman,M,1968,~,50,6931,2012,44,Nom
Vin Diesel,M,1967,~,51,7000,2013,46,~
Will Ferrell,M,1967,~,51,6767,2015,48,~
Jamie Foxx,M,1967,~,50,6801,2007,40,Won
John Cusack,M,1966,~,52,6644,2012,46,~
Adam Sandler,M,1966,~,52,6262,2011,45,~
Chris Rock,M,1965,~,53,7021,2003,38,~
Charlie Sheen,M,1965,~,53,7021,1994,29,~
Nicolas Cage,M,1964,~,54,7021,1998,34,Won
Russell Crowe,M,1964,~,54,6801,2010,46,Won
Chris Farley,M,1964,1997,33,6366,2005,~,~
Keanu Reeves,M,1964,~,54,6801,2005,41,~
David Spade,M,1964,~,54,7018,2003,39,~
Johnny Depp,M,1963,~,55,7018,1999,36,Nom
Mike Myers,M,1963,~,55,7046,2002,39,~
Matthew Broderick,M,1962,~,56,6801,2006,44,~
Steve Carell,M,1962,~,56,6708,2016,54,Nom
Tom Cruise,M,1962,~,56,6912,1986,24,Nom
Wesley Snipes,M,1962,~,56,7018,1998,36,~
Eugenio Derbez,M,1961,~,57,7013,2016,55,~
Michael J. Fox,M,1961,~,57,7021,2002,41,~
Eddie Murphy,M,1961,~,57,7000,1996,35,Nom
Forest Whitaker,M,1961,~,57,6801,2007,46,Won
Antonio Banderas,M,1960,~,58,6801,2005,45,~
Colin Firth,M,1960,~,58,6714,2011,51,Won
Kevin Spacey,M,1959,~,59,6801,1999,40,Won
Kevin Bacon,M,1958,~,60,6356,2003,45,~
Steve Guttenberg,M,1958,~,60,6411,2011,53,~
Tim Robbins,M,1958,~,60,6801,2008,50,Won
Andy García,M,1956,~,62,7000,1995,39,Nom
Tom Hanks,M,1956,~,62,7000,1992,36,Won
Nathan Lane,M,1956,~,62,6801,2005,49,~
Christoph Waltz,M,1956,~,62,6667,2014,58,Won
Kevin Costner,M,1955,~,63,6801,2003,48,Nom
Billy Bob Thornton,M,1955,~,63,6801,2004,49,Nom
Bruce Willis,M,1955,~,63,6915,2006,51,~
Scarlett Johansson,F,1984,~,34,6931,2012,28,~
Zoe Saldana,F,1978,~,40,6920,2018,39,~
Reese Witherspoon,F,1976,~,42,6262,2010,34,Won
Drew Barrymore,F,1975,~,43,6925,2004,29,~
Charlize Theron,F,1975,~,43,6801,2005,30,Won
Kate Winslet,F,1975,~,43,6262,2014,39,Won
Amy Adams,F,1974,~,44,6280,2017,43,Nom
Penélope Cruz,F,1974,~,44,6834,2011,37,Won
Hilary Swank,F,1974,~,44,6925,2007,33,Won
Cameron Diaz,F,1972,~,46,6712,2009,37,~
Jennifer Garner,F,1972,~,46,6920,2018,46,~
Gwyneth Paltrow,F,1972,~,46,6931,2010,38,Won
Winona Ryder,F,1971,~,47,7018,2000,29,Nom
Queen Latifah,F,1970,~,48,6915,2006,36,Nom
Melissa McCarthy,F,1970,~,48,6927,2015,45,Nom
Jennifer Aniston,F,1969,~,49,6270,2012,43,~
Cate Blanchett,F,1969,~,49,6712,2008,39,Won
Renée Zellweger,F,1969,~,49,7000,2005,36,Won
Laura Dern,F,1967,~,51,6270,2010,43,Nom
Nicole Kidman,F,1967,~,51,6801,2002,35,Won
Halle Berry,F,1966,~,52,6801,2007,41,Won
Viola Davis,F,1965,~,53,7013,2017,52,Won
Marlee Matlin,F,1965,~,53,6667,2009,44,Won
Sandra Bullock,F,1964,~,54,6801,2005,41,Won
Jodie Foster,F,1962,~,56,6927,2016,54,Won
Julianne Moore,F,1960,~,58,6250,2013,53,Won
Emma Thompson,F,1959,~,59,6714,2010,51,Won
Angela Bassett,F,1958,~,60,7000,2008,50,Nom
Annette Bening,F,1958,~,60,6927,2006,48,Nom
Jamie Lee Curtis,F,1958,~,60,6600,1998,40,~
Holly Hunter,F,1958,~,60,7000,2008,50,Won
Michelle Pfeiffer,F,1958,~,60,6801,2007,49,Nom
Sharon Stone,F,1958,~,60,6925,1995,37,Nom
