0705356,0695435,0290556,0089217,0005351,0425005,0000242,0000354,0000849,0000867,0085312,0000190,0748620,0000421,0413168,0004874,0002071,0004937,0000131,0001191,0001674,0000221,0000115,0000128,0000394,0000206,0005450,0000136,0000196,0000111,0136797,0000129,0000648,0220240,0000150,0000552,0001845,0000104,0000147,0000228,0000102,0000430,0000209,0000412,0000158,0001447,0910607,0000126,0000671,0000246,0424060,0757855,0000702,0000106,0000234,0000701,0010736,0004851,0005476,0000139,0004950,0000569,0000213,0001451,0565250,0000098,0000949,0000250,0000368,0000173,0000932,0205626,0559144,0000113,0000149,0000194,0000668,0000291,0000906,0000130,0000456,0000201,0000232,0000155,0000107,0005460,0000263,0001378,0000651,0000658,0000244,0000870,0000335,0001157,0000398,0000215,0000443,0566478,0000545,0002088
"6170506,4034354,0417741,3152624,5797184,6845728,1486834,3110958,7529770,0167872,0330373,2164430,1810644,4781612,0295297,4199898,6902676,6338476,4590930,1311071,0926084,0241527,0373889,1201607,1756545,0851430,0236784,0304141,1976009,0839761,3758172,0465436,1528071,0445114,1596365",4656392,,0445114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4656392,"1490017,1131734,9410240,1210166,4311010,3513498,0369994,4462324,0369610,4528890,0810922,0362359,3502544,2203947,3614530,0901476,0493464,1078885,1266020,2015381,2404435,1715873,1622696,1333125,2691394,3896198,4881806,7146812,4154756,2387559,1790885,7134278,1801045,0420225,1798709,1705101,1355644,0770703,2138881,0295249,8041270,4975920,4656392,2611482,0800268,0242399,1195478,0462601,0318883",,4656392,,3614530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"0375154,0244981,2825596,1361318,0843850,1426329,3530002,2316204,6412452,1453403,2343793,6017942,0417433,0269095,1623205,6808782,4585910,5958078,4434588,2771372,3521126,4426464,0814124,0457939,0284320,5124396,8219532,0193676,1756791,0469913,0450345,1049402,1542344,6015256,2171791,5129682,7641882,0910936,0294380,1707380,1491044,0145487,3765410,0274868,4501244,4998350,3387286,0305973,0181216,2101441,3492560,4283946,4442130,4437216,1620682,4057490,1961476,0245270,1951095,3954876,0403848,2357939,0480269,7227516,2312718,5699180,0346165,3262252,1580796,3597790,1794943,1881109,3744126,0956038,1686782,2879552,1700841,0326905,2479800,2088950,0783238,0335013,2788710,4659082,5249200,0403923,1240982,1245492,4577974,1735907,6571148,7890826,0231781,0202402,5480528,6449258,1616186,1837636,0316654,5349224,1807944,5866708,0802948,3713030,8960482,0879870,0837564,1785635,1013753,2992000,1692088,2133333,0462219,6422718,6014408,0415806,5580252,5737536,1318514,6080240,0240628,1945062,2273657,0478134,0413300,3224036,0231448,1899324,0151738,0990407,1688297,5788136,4076926,1592265,3519772,0454824,3026144,4411618,8050708,0478311,3503616,1279935,7603700,1754656",,,,1279935,,0879870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0445114,4656392,,"1790809,1792983,7099280,0277941,0808399,0452643,0120514,2310332,1791504,0330111,0332452,0386504,0449088,5648036,1509767,6715232,5200368,0167261,1365483,0320661,0120737,0325980,2249221,0368709,0383574,1734493,0195275,3833480,1270277,3466476,5562056,1582271,0347436,3704416,0489974,0167260,5886510,0445114,0265086,1170358",,,,,1790809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"0398615,0137330,0348333,8106534,3014866,0366551,0481499,0192023,0218864,7174924,0114395,0460745,0340331,5442430,0790736,0103504,0810988,0433400,0107755,2349144,0359013,0437405,0384806,1860353,1431045,0458525,1462758,0164192,0112111,1599348,0961108,6273870,8944244,2404425,2557490,2610260,1385861,1697067,0832266,0150176,1041829,0119534,1959563,0228004,0117534,0314786,0117583,1091722,0283111,0110615,5884052,8367618,8706598,1488555,6612630,0356614,0144168,0116619,0112061,0475394,3053198,0101099,2140379,1567437,8385148,1133985,5463162,1637725,2326612,6264654,6263850,7636826,2850386",,1637725,5463162,8944244,"1488555,0475394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3614530,,,,"5187204,4567790,6443346,2231461,2171867,3614530,1955053,6806448,3521164,0423500,1075417,1268961,1445794,0377471,3960686,1368162,0201694,0425061,4630562,1583421,0324486,1267297,0406323,1659175,0492956,8504450,0499554,1778375,1386588,8504538,1606752,1414382,0351977,0260523,0277296,4728328,5478534,2087951,0846120,2891574,0762125,7034646,6334354,6467284,1929560,0870154,8333318,0318668,1433108,1141278,7975244,0327850,0865361,1469304,0882977,8504496,4400838,3757982,5297040,1905041,0209163,5758778,2177250,2820852,0808510,0421206,0378997,7513962,8917520,1596343,2794304,0419706,8381880,3991144,1391137,2283362,1489889,7991608,0262889,6183272,2126355,0837134,6744198,6513120,8320124,1980209,0290924,0266026,0185103,0405336,1397514,3874594","1386588,1980209",,,1489889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1279935,,1637725,"1386588,1980209","0445990,7064748,7064722,7401588,0120609,0142192,0317740,5657846,1272878,1091191,7757692,2109248,0133152,0964517,0949731,7188086,7752848,8422698,0112461,8282438,0120188,8629748,0116287,1528854,7188064,0270707,1489919,8282448,0380510,4560436,1524137,0108243,0822854,0177971,1386588,0498399,5294550,1674771,0356721,1235522,3371366,4572514,0467197,7073616,2637276,7757742,0118749,8422710,0202470,1279935,0120366,0138946,0110971,1980209,0103506,2039393,1860357,1637725,0430105,0407887,7064758,7757726,2322517",0407887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5463162,,0407887,"0115956,1389072,0146984,1389137,0356150,5520656,4196776,0240772,3501632,0401623,1402488,0097351,0181536,0481797,0496806,0258463,0268995,0202623,0261392,0876563,0270288,1385826,0166813,0355295,0120655,0149624,0466893,0119978,1535108,0128442,0320037,0116422,0491175,0372183,0119217,0118842,1130080,0365737,2091473,0407887,1950186,0095690,0302674,0095238,2177771,0300051,2034800,8520958,0120815,1403865,0343737,0338466,0134119,3659388,0947810,0374569,0440963,1792654,0349903,0113196,2333804,0816692,1057500,0120913,7153766,5520670,0107004,5463162,1291580,1212419,1598778,0105327,0100497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0879870,1790809,8944244,,,,"1790809,1164999,9411866,0319769,0103030,0119879,0112546,1971325,2679352,0113733,2378079,1024688,0107165,1595656,0455957,3286560,1457762,0284491,0247196,4682788,0369339,4964788,0402703,0104545,0484740,8944244,0232611,0106251,5109784,0497465,0099484,0477348,0115536,0118926,0111403,0101332,4209950,0177747,2193215,1176775,0369702,0109699,1074638,0117131,0212311,0118239,0428998,0081348,0118819,5066196,0115487,0879870,0116972,7984842,0120868,0260652,0109612,0104462,2251485,2515034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"1488555,0475394",1489889,,,,"0253867,0109470,1078940,2097307,0458364,0094922,0118323,2704998,0071007,0111415,0188863,1371150,1092026,0087239,2064968,0367279,0431197,0229257,5071412,0088594,2393979,4651824,0335438,0448157,0304250,0112093,1489889,4925366,0259144,0094118,0092622,2024432,1499658,0787969,1058017,0112162,0452594,0095663,0086737,0083479,0800039,2097331,0103877,3663602,0118284,1433811,0211187,0344854,0457419,0467406,0364725,0318252,1488555,0275692,0102517,1711525,0473705,0942385,0475394,0290795,4671444,1232266,2170299,0889573,2948356,2170439,1225822,0113266,0090540,1193138,0090789,0105538,0089920,4178092,0803057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
